申請者－法人種別,申請者－名称,申請者－郵便番号,申請者－住所,,申請者－電話番号,事業所－名称,事業所－郵便番号,事業所－地域,事業所－住所,事業所－電話番号,ｻｰﾋﾞｽ種類,事業所番号,指定年月日
社会福祉法人（社協以外）,社会福祉法人共働学舎,1950064,東京都町田市,小野路町２１５７,042-737-7676,小野路生活寮,1950064,東京都町田市,小野路町２２０３,042-735-7676,共同生活援助,1323200137,2014/4/1
社会福祉法人（社協以外）,社会福祉法人地の星,1940044,東京都町田市,成瀬８－９－１４,042-728-9301,ひかり,1940044,東京都町田市,成瀬７－１０－６　４１１号・５０９号,042-728-9301,共同生活援助,1323200145,2014/4/1
社会福祉法人（社協以外）,社会福祉法人みずき福祉会,1920152,東京都八王子市,美山町２７９,042-652-2220,しえる,1940203,東京都町田市,図師町６０２－１,042-793-2819,共同生活援助,1323200202,2014/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人NPO東京ハンディキャップサポートセンター,1950071,東京都町田市,金井町１７００－１－１０２,042-860-2166,輪が家,1950071,東京都町田市,金井町２０１０－２,042-860-3470,共同生活援助,1323201168,2014/4/1
社会福祉法人（社協以外）,社会福祉法人創隣会　,1910062,東京都日野市,多摩平３－５－２１,042-586-9141,こばと寮,1910021,東京都日野市,＊,042-592-7950,共同生活援助,1323500551,2014/4/1
社会福祉法人（社協以外）,社会福祉法人東京都社会福祉事業団,1690072,東京都新宿区,大久保３－１０－１－２０１,03-5291-3600,あおば,1910052,東京都日野市,東豊田３－６－１１,042-591-0049,共同生活援助,1323500569,2014/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人在宅福祉サービスウイズ,1960004,東京都昭島市,緑町４－１５－２３,042-544-1782,ケアホームともにこ,1910024,東京都日野市,万願寺３－３６－１８,042-514-8113,共同生活援助,1323500619,2014/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人ＩＬ＆Ｐアシスト,1910031,東京都日野市,高幡１０２３－５　クレールハイムＡ１０８,042-506-9577,ＩＬ＆Ｐアシスト共同生活支援,1910042,東京都日野市,程久保１－１９－１５,042-506-9577,共同生活援助,1323500635,2014/4/1
社会福祉法人（社協以外）,社会福祉法人すずかけの会,1910041,東京都日野市,南平４－１１－２２,042-591-7561,ひまわり,1910033,東京都日野市,百草８５７－１,042-506-5258,共同生活援助,1323500668,2014/4/1
社会福祉法人（社協以外）,社会福祉法人夢ふうせん,1910065,東京都日野市,旭が丘２－４２－１２,042-587-8630,夢のいえ,1910031,東京都日野市,高幡１００１－８　久野第２ビル７階,042-594-0188,共同生活援助,1323500700,2014/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人ちえのわ,1910034,東京都日野市,落川１４３１－６８,042-593-0043,生活寮もぐさ,1910034,東京都日野市,落川１４３１－６８,042-593-0043,共同生活援助,1323500791,2014/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人南風,1830025,東京都府中市,矢崎町４－１５－４３,042-334-5058,ありがとう村,1860011,東京都国立市,谷保７－２６－１０,042-574-2608,共同生活援助,1323800092,2014/4/1
社会福祉法人（社協以外）,社会福祉法人　かいゆう,1860013,東京都国立市,青柳１－３４－３,042-595-8033,はじめの一歩ハウス,1860003,東京都国立市,富士見台２－４２－１４,042-572-7998,共同生活援助,1323800373,2014/4/1
社会福祉法人（社協以外）,社会福祉法人　かいゆう,1860013,東京都国立市,青柳１－３４－３,042-595-8033,すうぇる,1860013,東京都国立市,青柳１－３４－３,042-595-6128,共同生活援助,1323800464,2014/4/1
営利法人,すまいるタック株式会社,1900182,東京都西多摩郡日の出町,大字平井１１６６－１１,042-519-9904,IZUMIハウス　with　プライムスペース,1970003,東京都福生市,熊川６５－１　プライムスペース,042-513-5630,共同生活援助,1324100229,2014/4/1
社会福祉法人（社協以外）,社会福祉法人新の会,1820026,東京都調布市,小島町１－２２－７,042-490-8625,ケアホームほっとわん,2010012,東京都狛江市,中和泉５－１９－１７,03-5761-5673,共同生活援助,1324200201,2014/4/1
社会福祉法人（社協以外）,社会福祉法人足立邦栄会,1230862,東京都足立区,皿沼２－８－８,03-5691-7150,パンダ,2010012,東京都狛江市,中和泉３－２４－２８,03-5761-8353,共同生活援助,1324200284,2014/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人こげら会,1840015,東京都小金井市,貫井北町１－６－２２日興ビル小金井２階,042-349-6950,芝久保どろっぷす,1880014,東京都西東京市,芝久保町１－２２－２,042-349-6950,共同生活援助,1324300084,2014/4/1
社会福祉法人（社協以外）,社会福祉法人東京都社会福祉事業団,1690072,東京都新宿区,大久保３－１０－１－２０１,03-5291-3600,きらり,2070004,東京都東大和市,清水６－１１５６－６,042-343-8141,共同生活援助,1324300365,2014/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人あかりの木,2070031,東京都東大和市,奈良橋５－５１５－４　リバーサイドハイツ１階,042-569-8404,はばたき,2070031,東京都東大和市,奈良橋５－５１６－２１,042-565-4498,共同生活援助,1324300381,2014/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人あかりの木,2070031,東京都東大和市,奈良橋５－５１５－４　リバーサイドハイツ１階,042-569-8404,なでしこ,2070031,東京都東大和市,奈良橋５－５１５－４　リバーサイドハイツ　１階,042-569-8404,共同生活援助,1324300456,2014/4/1
社会福祉法人（社協以外）,社会福祉法人聖ヨハネ会,1840005,東京都小金井市,桜町１－３－２２,042-384-4403,清瀬聖ヨハネケアービレッジ,2040011,東京都清瀬市,下清戸５－８５１－１,042-496-1100,共同生活援助,1324400074,2014/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人自立生活センターグッドライフ,2030014,東京都東久留米市,東本町１４－７　西村ビル１階,0424-77-8384,グッドライフ生活寮,2030054,東京都東久留米市,中央町６－３－１３,042-477-8284,共同生活援助,1324500030,2014/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人自立福祉会,2030053,東京都東久留米市,本町３－６－８　橋本ビル２０２,042-420-1335,ウィル生活寮,2030053,東京都東久留米市,本町３－６－８　橋本ビル３０１及び３０２,0424-69-9299,共同生活援助,1324500311,2014/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人成年後見サービスやすらぎ,2030053,東京都東久留米市,本町２－１４－２９,042-410-2821,みんなの家やすらぎ寮第１,2030053,東京都東久留米市,本町２－１４－２９,042-410-2821,共同生活援助,1324500394,2014/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人グループホームあしたば,2080003,東京都武蔵村山市,武蔵村山市三ツ藤１－１１６－１９,042-567-3181,ケアホームあしたば,2080023,東京都武蔵村山市,伊奈平１－６２－２,042-507-8722,共同生活援助,1324600350,2014/4/1
社会福祉法人（社協以外）,社会福祉法人金木星の会,1900162,東京都あきる野市,三内４８９－１,042-596-3590,ケアホーム金木星の郷,1900152,東京都あきる野市,留原７２０－３,042-596-3590,共同生活援助,1324900016,2014/4/1
社会福祉法人（社協以外）,社会福祉法人同愛会,2400051,神奈川県横浜市保土ケ谷区,上菅田町金草沢１７４９,045-373-9661,秋川ハイム,1970804,東京都あきる野市,秋川３－６－１１,042-532-0255,共同生活援助,1324900222,2014/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人わたげ,1970814,東京都あきる野市,二宮１０５１－２,042-558-5303,まゆ,2050022,東京都羽村市,双葉町３－３－１６,042-513-5777,共同生活援助,1325000022,2014/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人羽村市手をつなぐ親の会,2050003,東京都羽村市,緑ケ丘２－１－１６,042-578-9281,グループホームかりん,2050003,東京都羽村市,緑ケ丘２－１－１６,042-578-9281,共同生活援助,1325000147,2014/4/1
社会福祉法人（社協以外）,社会福祉法人コロロ学舎,1901221,東京都西多摩郡瑞穂町,箱根ケ崎武蔵野９４０,042-568-0966,アルタイル,1901221,東京都西多摩郡瑞穂町,箱根ケ崎２７５－６,042-568-0966,共同生活援助,1325100038,2014/4/1
社会福祉法人（社協以外）,社会福祉法人太陽福祉協会,1900181,東京都西多摩郡日の出町,大久野５１０７,042-597-2811,ケアホーム太陽,1900182,東京都西多摩郡日の出町,平井２７３７－１，２,042-597-7350,共同生活援助,1325200010,2014/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人あしたばの会,1000211,東京都大島町,差木地字クダッチ,04992-4-1588,あしたば寮,1000211,東京都大島町,差木地字クダッチ,04992-4-0980,共同生活援助,1325600078,2014/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人ちょんこめ会,1001511,東京都八丈島八丈町,三根２－１,04996-2-3678,ちょんこめ銀河の家,1001511,東京都八丈島八丈町,三根２－１,04996-2-5558,共同生活援助,1326200035,2014/4/1
営利法人,株式会社なないろ,1920001,東京都八王子市,戸吹町４７６－５,042-659-3431,おひさまのおうち,1920372,東京都八王子市,下柚木２－１１－１６,042-659-3431,共同生活援助,1322402783,2014/5/1
社会福祉法人（社協以外）,社会福祉法人東京聴覚障害者福祉事業協会,1980052,東京都青梅市,長淵５－１４２０－２,0428-20-0722,畑中たましろ荘,1980061,東京都青梅市,畑中３－８６７－３８,0428-20-0722,共同生活援助,1322800549,2014/5/1
社団・財団,一般社団法人うぇるびー,1980051,東京都青梅市,友田町２-１１３-１,0428-27-2984,フレンズともだ,1980051,東京都青梅市,友田町２－７６５　リバーメール舟場,0428-27-2984,共同生活援助,1322800556,2014/5/1
社会福祉法人（社協以外）,社会福祉法人調布市社会福祉事業団,1820032,東京都調布市,西町２９０－４,042-481-7493,グループホームみつばち,1820024,東京都調布市,布田４－３０－１２,042-444-4677,共同生活援助,1323100907,2014/5/1
社会福祉法人（社協以外）,社会福祉法人港福会,1050023,東京都港区,芝浦１－１４－８　ベルハイム田町２０１,03-3455-8140,みなと芝浦ベイホーム,1050023,東京都港区,＊,03-3455-8140,共同生活援助,1320301128,2014/6/1
社団・財団,一般社団法人きずなの森,1910033,東京都日野市,百草９７-６,048-826-6992,グループホーム　リアン,1910033,東京都日野市,百草９７－６,042-506-7867,共同生活援助,1323500940,2014/6/1
その他法人,一般社団法人アイエスエフネットベネフィット,1070062,東京都港区,南青山１－４－２　八並ビル３階・７階,03-5785-3788,リアン　ソリードゥ南砂,1360076,東京都江東区,南砂７－６－１６,03-6659-7151,共同生活援助,1320801515,2014/7/1
社団・財団,一般社団法人ガーネッシュ,1160014,東京都荒川区,東日暮里３－４０－１２　１階　フリージア,03-6458-3831,スノードロップ,1160014,東京都荒川区,東日暮里３－４０－１２,03-6458-3831,共同生活援助,1321801076,2014/7/1
社会福祉法人（社協以外）,社会福祉法人黎明会,1870032,東京都小平市,小川町１－４８５,042-346-6611,グループホームどりーむ・のぞみ,1870025,東京都小平市,津田町２－５－５,042-347-6160,共同生活援助,1323400802,2014/7/1
社団・財団,一般社団法人そらいろ,1930811,東京都八王子市,上壱分方町２７４－１,042-659-2410,そらいろ,1930803,東京都八王子市,楢原町３１１－７,042-686-0213,共同生活援助,1322402866,2014/8/1
営利法人,有限会社環七,1780062,東京都練馬区,大泉町１－４２－４　メゾンさくら２０１,03-6767-0555,調布寮,1830001,東京都府中市,浅間町４－１３－６７,03-6794-4111,共同生活援助,1323100931,2014/8/1
非営利法人（ＮＰＯ）,特定非営利活動法人世田谷区聴覚障害者協会,1560051,東京都世田谷区,宮坂３－１２－４　ドム経堂２０６,03-6750-4630,さぎそうハウス,1570061,東京都世田谷区,北烏山８－６－１２,03-6750-4630,共同生活援助,1321203109,2014/9/1
営利法人,株式会社日本ソテリア,1320031,東京都江戸川区,松島２－９－２,03-5879-4970,ふれにあ本舗,1240024,東京都葛飾区,＊,03-5879-4970,共同生活援助,1322201961,2014/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人虹の橋,1330061,東京都江戸川区,篠崎町７－１７－２０,03-3670-9593,グループホーム虹の橋,1330054,東京都江戸川区,上篠崎３－１－１,03-6638-8103,共同生活援助,1322302587,2014/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人スマイルほうや,2020011,東京都西東京市,泉町１－１３－９　仲本方,042-461-9684,グループホームにこっ,2020005,東京都西東京市,住吉町１－１－２,042-439-4171,共同生活援助,1323900652,2014/10/1
地方公共団体（市町村）,港区,1058511,東京都港区,芝公園１－５－２５,03-3578-2111,港区立障害者グループホーム芝浦,1080023,東京都港区,芝浦３－５－３４,03-6453-7573,共同生活援助,1320301177,2014/11/1
社会福祉法人（社協以外）,社会福祉法人睦月会,1860012,東京都国立市,泉３－３０－５,042-571-1115,Life　Design　らいみ,2020015,東京都西東京市,保谷町１－１８－１０,042-452-7860,共同生活援助,1323900660,2014/11/1
社会福祉法人（社協以外）,社会福祉法人なごみ福祉会,2140003,神奈川県川崎市多摩区,菅稲田堤３－９－２,044-944-2022,グループホームここから,1570061,東京都世田谷区,北烏山３－１１－５,03-5315-7884,共同生活援助,1321203141,2014/12/1
社団・財団,一般社団法人オフィスサプライ,1160011,東京都荒川区,西尾久５－２０－１８,03-6240-8944,オフィスサプライ西尾久壱番館,1160011,東京都荒川区,西尾久６－１０－１３,03-6240-8944,共同生活援助,1321801126,2014/12/1
社団・財団,一般社団法人粋粋,1730012,東京都板橋区,大和町４４－１３－２０１,03-5248-1568,グループホーム粋粋板橋寮,1730004,東京都板橋区,板橋４－１２－９,03-5248-1568,共同生活援助,1321902569,2014/12/1
営利法人,有限会社松原部品商会,2070015,東京都東大和市,中央２－８６０－３,042-563-4428,グループホームＴＡＣＫ,2070015,東京都東大和市,中央２－８６０－３,042-563-4428,共同生活援助,1324300514,2014/12/1
社会福祉法人（社協以外）,社会福祉法人ときわ会,1870032,東京都小平市,小川町２－１１５９,042-345-4575,共同ホーム一歩,1870002,東京都小平市,花小金井７－２－２４,042-349-0305,共同生活援助,1323400877,2015/1/1
非営利法人（ＮＰＯ）,特定非営利活動法人ＳＵＮ,1520001,東京都目黒区,中央町２－３２－５　スマイルプラザ中央町４階,03-3712-0653,グループホームグレープバイン,1540002,東京都世田谷区,＊,03-6805-5621,共同生活援助,1321203216,2015/2/1
社会福祉法人（社協以外）,社会福祉法人一粒,3690112,埼玉県鴻巣市,鎌塚４０－１,048-547-2064,杉並区下井草カラフルホーム,1670022,東京都杉並区,下井草４－３０－１,03-3301-1616,共同生活援助,1321502328,2015/2/1
社会福祉法人（社協以外）,社会福祉法人武蔵野会,1920083,東京都八王子市,旭町１２－４　日本生命八王子ビル２階２０１,042-631-6341,サライ,1930824,東京都八王子市,長房町１４－１２,042-663-9878,共同生活援助,1322402973,2015/2/1
非営利法人（ＮＰＯ）,特定非営利活動法人ぽけっとの会,1810002,東京都三鷹市,牟礼１－１８－１３　ハイツ白樺３号棟１０５,0422-26-7123,ハイツぽけっと,1810002,東京都三鷹市,＊,0422-26-7675,共同生活援助,1322700962,2015/2/1
社団・財団,一般社団法人ナースプラネット,1140012,東京都北区,田端新町１－２２－５,03-6458-2774,グループホームそれいゆ,1160012,東京都荒川区,東尾久５－３６－１２,03-6458-2774,共同生活援助,1321801142,2015/3/1
社会福祉法人（社協以外）,社会福祉法人由木かたくりの会,1920355,東京都八王子市,堀之内１２３６－８,042-674-0520,グループホームかたくり,1920355,東京都八王子市,堀之内５４２－２,042-682-2822,共同生活援助,1322402999,2015/3/1
非営利法人（ＮＰＯ）,特定非営利活動法人タイセン,1920034,東京都八王子市,大谷町２２３－２　天理教大扇分教会,042-644-1426,ＩＳＡＭＩ,1910011,東京都日野市,日野本町２－３－５,080-48369706,共同生活援助,1323500973,2015/3/1
社会福祉法人（社協以外）,社会福祉法人文京槐の会,1120012,東京都文京区,大塚４－２１－８,03-3943-4300,陽だまりの郷,1120002,東京都文京区,小石川４－４－５,03-6801-8788,共同生活援助,1320500778,2015/4/1
社団・財団,一般社団法人北斗みらい,1400013,東京都品川区,南大井１－１３－１６－１３０４号,03-6379-3238,グループホーム北斗みらい,1440055,東京都大田区,仲六郷２－２０－６　ウィンベルソロ仲六郷１０１,03-6379-3238,共同生活援助,1321102426,2015/4/1
社会福祉法人（社協以外）,社会福祉法人いたるセンター,1670032,東京都杉並区,天沼１－１５－１８,03-3392-7346,バンブル,1570066,東京都世田谷区,成城８－２７－１１,03-6277-9311,共同生活援助,1321203380,2015/4/1
社団・財団,一般社団法人桜香,1570062,東京都世田谷区,南烏山５－１－１１　第３ヒエモトハイツ１０５,03-5384-0755,さくらハウス,1570062,東京都世田谷区,＊,03-5384-0755,共同生活援助,1321203398,2015/4/1
営利法人,トラム株式会社,1160001,東京都荒川区,町屋３－１９－９,03-5855-2087,麦の家,1160012,東京都荒川区,東尾久２－１３－１７,03-6240-8388,共同生活援助,1321801175,2015/4/1
社会福祉法人（社協以外）,社会福祉法人東京都手をつなぐ育成会,1600023,東京都新宿区,西新宿７－８－１０　オークラヤビル２Ｆ,03-5389-2600,多摩地域生活支援センター八王子分場,1920154,東京都八王子市,下恩方町１４１０－３,042-528-6445,共同生活援助,1322403021,2015/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人希望,1920907,東京都八王子市,長沼町６７５－３,042-638-8015,グループホームいちょうの樹Ａ・Ｂ,1920907,東京都八王子市,長沼町６７５－３,042-638-8015,共同生活援助,1322403088,2015/4/1
社団・財団,一般社団法人東京精神保健福祉会すいかの苗,1520002,東京都目黒区,目黒本町３－１７－２０,090-41225039,グループホームすいかの苗,1920362,東京都八王子市,＊,090-41225039,共同生活援助,1322403096,2015/4/1
社団・財団,一般社団法人ネクスト府中,1830022,東京都府中市,宮西町５－２３－５　柿の木コート１０１,042-369-7333,グループホームあさや,1830022,東京都府中市,宮西町５－４－３　麻屋２、３階,042-302-0385,共同生活援助,1322901164,2015/4/1
社会福祉法人（社協以外）,社会福祉法人東京光の家,1910065,東京都日野市,旭が丘１－１７－１７,042-581-2340,光の家障害者グループホーム,1910065,東京都日野市,旭が丘３－６－２６,042-589-0553,共同生活援助,1323500981,2015/4/1
社会福祉法人（社協以外）,社会福祉法人この指とまれ,2070004,東京都東大和市,清水３－８５５－２,042-564-2883,グループホームりずむ,2070004,東京都東大和市,清水３－７８５－２,042-564-3110,共同生活援助,1324300530,2015/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人多摩草むらの会,2060034,東京都多摩市,鶴牧１－４－１０　アネックス鶴牧１０１,042-339-8022,グループホーム多摩草むら鶴牧,2060034,東京都多摩市,＊,042-319-6307,共同生活援助,1324700598,2015/4/1
社会福祉法人（社協以外）,社会福祉法人泉会,1570076,東京都世田谷区,岡本２－３３－２３,03-3417-3451,グループホームのぞみ,1970804,東京都あきる野市,秋川２－３－１,042-533-3608,共同生活援助,1324900396,2015/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人八王子うらら会,1920907,東京都八王子市,長沼町１３０６－４　八王子長沼通所センター内うらら長沼内,042-642-5779,くろーばー,1930811,東京都八王子市,上壱分方町３２１－８,042-659-2766,共同生活援助,1322403146,2015/5/1
社団・財団,一般社団法人ジョイス,1660003,東京都杉並区,高円寺南２－３５－１５花月第一ビル２Ｆ,03-5930-3052,ジョイス,1800005,東京都武蔵野市,御殿山２－２１－３　三ツ木武蔵野ビル２０２・２０３,042-277-6315,共同生活援助,1322600774,2015/5/1
社会福祉法人（社協以外）,社会福祉法人リブリー,2030032,東京都東久留米市,前沢５－５－８,042-476-1081,グループホーム花みずき,2030041,東京都東久留米市,野火止２－２２－２３,042-420-1066,共同生活援助,1324500691,2015/5/1
社会福祉法人（社協以外）,社会福祉法人せたがや樫の木会,1550033,東京都世田谷区,代田１－２９－５,03-5481-1010,どんぐりホーム上町,1540017,東京都世田谷区,世田谷３－９－１,03-6413-0351,共同生活援助,1321203463,2015/6/1
社会福祉法人（社協以外）,社会福祉法人　にじの会,1810015,東京都三鷹市,大沢１－６－３,0422-39-2411,グループホームにじの空,1810014,東京都三鷹市,野崎１－１７－１１,0422-47-7671,共同生活援助,1322700996,2015/6/1
社会福祉法人（社協以外）,社会福祉法人東京武尊会,1980001,東京都青梅市,成木１－６３４－７,0428-20-0770,日向の家,1980046,東京都青梅市,日向和田３－６７６－３,0428-22-2077,共同生活援助,1322800622,2015/6/1
社会福祉法人（社協以外）,社会福祉法人ひばり福祉会,1830033,東京都府中市,分梅町５－２５－１,042-304-6000,グループホーム　こんぺいとう,1830025,東京都府中市,矢崎町４－１３－１,042-302-3838,共同生活援助,1322901198,2015/6/1
営利法人,一般社団法人多幸,1910033,東京都日野市,百草４８８－１,042-591-7677,グループホームはるか,1910024,東京都日野市,日野市万願寺３－８－１８　セントラルマンション３０４,042-591-7677,共同生活援助,1323501013,2015/6/1
社会福祉法人（社協以外）,社会福祉法人なずみ,1520003,東京都目黒区,碑文谷６－１０－１７,03-3792-7578,グループホームなずみ,1520003,東京都目黒区,碑文谷６－１０－１７,03-3792-7578,共同生活援助,1321001123,2015/7/1
非営利法人（ＮＰＯ）,特定非営利活動法人フットルース,1460093,東京都大田区,矢口１－５－４,03-6715-2640,楽し荘,1460093,東京都大田区,矢口１－５－４,03-6715-2640,共同生活援助,1321102475,2015/7/1
社会福祉法人（社協以外）,社会福祉法人東京都手をつなぐ育成会,1600023,東京都新宿区,西新宿７－８－１０（オークラヤビル内）,03-5389-2600,グループホームえにし,1560045,東京都世田谷区,桜上水５－３－２９,03-3306-1622,共同生活援助,1321203505,2015/7/1
非営利法人（ＮＰＯ）,特定非営利活動法人陽だまり,1930803,東京都八王子市,楢原町１１０６－６,042-666-9380,陽だまり,1930942,東京都八王子市,椚田町４５０－４,042-666-9380,共同生活援助,1322403161,2015/7/1
社会福祉法人（社協以外）,社会福祉法人まちだ育成会,1950074,東京都町田市,山崎町１２１４－１,042-794-4888,にじ,1940034,東京都町田市,根岸１－８－１１,042-794-9997,共同生活援助,1323201655,2015/7/1
営利法人,一般社団法人福祉心話会,6638164,兵庫県西宮市,甲子園六石町５－２９,0798-48-0160,しんわ町田ホーム,1940202,東京都町田市,下小山田町４０１３－２４,042-794-8828,共同生活援助,1323201663,2015/7/1
非営利法人（ＮＰＯ）,特定非営利活動法人ひなた,2080022,東京都武蔵村山市,中央４－５５－１,042-561-2787,グループホーム笑顔,2080003,東京都武蔵村山市,中央４－５５－１,042-561-2787,共同生活援助,1324600434,2015/7/1
営利法人,株式会社ケアプラン徳丸,1750084,東京都板橋区,四葉２－１９－６　ファーストインヨツバ２０１,03-5967-0770,ホームさんさん,1750083,東京都板橋区,＊,03-6794-5734,共同生活援助,1321902718,2015/8/1
営利法人,一般社団法人ニールテーラーホーム,1970011,東京都福生市,福生９７１－２　２０７号,070-1306-9798,ニールテーラーホーム,1970011,東京都福生市,福生１７４４－３　フォンテーヌ加美１０１,7013069798,共同生活援助,1324100310,2015/8/1
非営利法人（ＮＰＯ）,特定非営利活動法人コクア,1540011,東京都世田谷区,上馬２－３８－３　早川ビル２０１,03-6453-2304,ＡＣＣたまがわ,2010012,東京都狛江市,＊,03-5761-2797,共同生活援助,1324200334,2015/8/1
非営利法人（ＮＰＯ）,特定非営利活動法人こもれび,1930822,東京都八王子市,弐分方町３１０－１,042-694-0877,こもれび寮,1930822,東京都八王子市,弐分方町３１０－１,9039139918,共同生活援助,1322403203,2015/9/1
非営利法人（ＮＰＯ）,特定非営利活動法人両全トウネサーレ,1640001,東京都中野区,中野４-１５-９,03-3468-1639,カーサ・トウネサーレ,1650032,東京都中野区,＊,03-5318-9592,共同生活援助,1321401539,2015/10/1
社会福祉法人（社協以外）,社会福祉法人つくりっこの家,1780061,東京都練馬区,大泉学園町１－２３－５,03-5387-2477,みなとや,1780061,東京都練馬区,＊,03-5387-2477,共同生活援助,1322003375,2015/10/1
社会福祉法人（社協以外）,社会福祉法人ＳＨＩＰ,1970804,東京都あきる野市,秋川１－１２－１　エスポワールⅢ番館１Ｂ,042-595-5760,サクレ江戸川,1320025,東京都江戸川区,＊,03-6808-2681,共同生活援助,1322303023,2015/10/1
社会福祉法人（社協以外）,社会福祉法人SHIP,1900100,東京都あきる野市,秋川１－１２－１－１Ｂ,042-595-5760,ラ・ファミ・ド八王子,1920012,東京都八王子市,＊,042-673-2014,共同生活援助,1322403245,2015/10/1
社団・財団,一般社団法人自立支援塾,1980042,東京都青梅市,東青梅３－８－５,0428-84-0054,自立支援塾ＧＨ,1980042,東京都青梅市,＊,0428-84-2912,共同生活援助,1322800648,2015/10/1
社会福祉法人（社協以外）,社会福祉法人コメット,1940013,東京都町田市,原町田５－４－１９,042-725-0786,あいむ,1940036,東京都町田市,＊,042-851-9603,共同生活援助,1323201713,2015/10/1
営利法人,株式会社ノエ,1940203,東京都町田市,図師町１３３２－１５,042-793-0658,グループホームあい羽,1940203,東京都町田市,＊,042-794-6151,共同生活援助,1323201721,2015/10/1
社会福祉法人（社協以外）,社会福祉法人ＡｎｎＢｅｅ,1850023,東京都国分寺市,西元町３－６－１４,042-316-8523,なな庵,1850023,東京都国分寺市,西元町２－１１－４１,042-406-1771,共同生活援助,1323700565,2015/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人東京自立支援センター,1860003,東京都国立市,富士見台４－１１－７－１０１,042-576-9088,ともにーホーム,1860012,東京都国立市,泉５－２０－４,042-505-7634,共同生活援助,1323800555,2015/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人こらーるたいとう,1310033,東京都墨田区,向島３－２－１　向島パークハイツ１階,03-5819-3651,グループホームがじゅまる,1310033,東京都墨田区,＊,03-5819-3651,共同生活援助,1320701202,2015/11/1
社会福祉法人（社協以外）,社会福祉法人すぎのこ,2030011,東京都東久留米市,大門町２－１３－１１,042-471-4883,すぎのこハウス,2030054,東京都東久留米市,中央町２－３－１,042-459-3737,共同生活援助,1324500725,2015/11/1
非営利法人（ＮＰＯ）,特定非営利活動法人東京福祉協議会,1760002,東京都練馬区,桜台１－１２－２,03-3991-0593,グループホーム平和台,1790085,東京都練馬区,早宮２－１８－２３,03-6760-5001,共同生活援助,1322003409,2015/12/1
非営利法人（ＮＰＯ）,特定非営利活動法人三沢福祉会,1910032,東京都日野市,三沢３－４１－６,042-848-3272,スモールステップ,1910032,東京都日野市,三沢３－４１－６,042-506-5445,共同生活援助,1323501039,2016/1/1
社団・財団,一般社団法人コア,1750092,東京都板橋区,赤塚３－２１－９,03-5968-3555,コアホーム,1750092,東京都板橋区,＊,03-5968-3555,共同生活援助,1321902874,2016/2/1
非営利法人（ＮＰＯ）,特定非営利活動法人東京ＹＷＣＡ福祉会,1740043,東京都板橋区,坂下１－３４－２５　公益財団法人東京ＹＷＣＡ板橋センター,03-5914-1854,Ｙ’ｓホーム,1750082,東京都板橋区,高島平１－４４－１６,03-5920-6055,共同生活援助,1321902882,2016/2/1
非営利法人（ＮＰＯ）,特定非営利活動法人縁パワー,2080004,東京都武蔵村山市,本町３－５２－９,042-569-6404,縁パワーハウジング・ウェイ,2080011,東京都武蔵村山市,学園１－４８－５,042-569-8486,共同生活援助,1324600442,2016/2/1
非営利法人（ＮＰＯ）,特定非営利活動法人とぅもろう,1760021,東京都練馬区,貫井３－４５－１２,03-5936-6100,グループホーム　とぅもろう,1760021,東京都練馬区,貫井３－４５－１２,03-5936-6100,共同生活援助,1322003458,2016/3/1
その他法人,一般社団法人かがやき,2770922,千葉県柏市,大島田５９４－６,04-7192-1237,グループホームライフ,1250061,東京都葛飾区,亀有３－１８－２　セントラルエクセル４０２,03-3690-0558,共同生活援助,1322202209,2016/3/1
社団・財団,一般社団法人アプローズ,1070062,東京都港区,南青山４－３－２４,03-6804-3623,アプローズＨｏｕｓｅ南麻布,1060047,東京都港区,＊,03-6277-2648,共同生活援助,1320301375,2016/4/1
地方公共団体（市町村）,品川区,1408715,東京都品川区,広町２－１ー３６,03-5742-6707,品川区立北品川つばさの家,1400001,東京都品川区,＊,03-5461-8822,共同生活援助,1320901158,2016/4/1
医療法人,医療法人社団翠会,1750091,東京都板橋区,三園１－１９－１,03-3939-1191,サンホーム,1770032,東京都練馬区,＊,03-6913-3390,共同生活援助,1322003466,2016/4/1
