No.,申請者名称,事業所番号,枝番／ 連番,事業所名称,事業所郵便番号,事業所所在地,事業所電話番号,事業所FAX番号,共同生活住居名称,共同生活住居〒,共同生活住居所在地,主たる対象者(身体障害者),主たる対象者(知的障害者),主たる対象者(精神障害者),主たる対象者(難病等対象者),異動年月日,異動区分,施設等の区分,利用定員数
281,社会福祉法人めぐみ会,1122466707,1,すてっぷ,3540044,埼玉県入間郡三芳町北永井３７５－５,049-292-0055,049-292-0055,すてっぷ,3540044,埼玉県入間郡三芳町北永井３７５－５,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,10
282,社会福祉法人めぐみ会,1122466707,2,すてっぷ,3540044,埼玉県入間郡三芳町北永井３７５－５,049-292-0055,049-292-0055,すてっぷⅡ,3540044,埼玉県入間郡三芳町北永井３７５－５,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,8
283,社会福祉法人めぐみ会,1122466707,3,すてっぷ,3540044,埼玉県入間郡三芳町北永井３７５－５,049-292-0055,049-292-0055,いっぽ,3560057,埼玉県ふじみ野市市沢１丁目８－８,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,7
284,社会福祉法人埼玉聴覚障害者福祉会,1122466749,1,第１どんぐりホーム,3500463,埼玉県入間郡毛呂山町前久保南一丁目３番地５,049-295-1090,049-295-1090,第１どんぐりホーム,3500463,埼玉県入間郡毛呂山町前久保南１－３－５,○,×,×,×,2021/4/1,変更,1:介護サービス包括型,11
285,社会福祉法人かえで,1122466756,1,かえでホーム,3500407,埼玉県入間郡越生町大字上谷１１２番地８,049-292-2347,049-292-2347,かえでホーム,3500407,埼玉県入間郡越生町大字上谷１１２番地８,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
289,特定非営利活動法人ゆずり葉の会,1122466848,1,グループホームゆずり葉の里,3500436,埼玉県入間郡毛呂山町大字川角６１０番地２,049-272-7310,049-272-7311,グループホームゆずり葉の里,3500436,埼玉県入間郡毛呂山町大字川角６１０番地２,×,○,○,×,2021/4/1,変更,2:外部サービス利用型,7
290,株式会社児童デイサービスほっと,1122466970,1,共同生活援助あっとほーむ,3500415,埼玉県入間郡越生町上野１１０４番地９,049-299-5112,049-299-5112,共同生活援助あっとほーむ,3500415,埼玉県入間郡越生町上野１１０４番地９,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,8
291,株式会社Waiwai housing,1122466988,1,グループホームデイジー若山,3500462,埼玉県入間郡毛呂山町若山１丁目５５番地１６、５５番地５,049-295-4660,049-298-4617,グループホームデイジー若山,3500462,埼玉県入間郡毛呂山町若山１丁目５５番地１６、５５番地５,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
292,株式会社Waiwai housing,1122466988,2,グループホームデイジー若山,3500462,埼玉県入間郡毛呂山町若山１丁目５５番地１６、５５番地５,049-295-4660,049-298-4617,グループホームデイジー若山Ⅱ,3500462,埼玉県入間郡毛呂山町若山３丁目２番地６、２番地７,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
293,社会福祉法人藤の実会,1122500018,1,所沢市立ゆきわり草,3590004,埼玉県所沢市北原町９２４－２,042-992-3113,042-992-3113,所沢市立ゆきわり草,3590004,埼玉県所沢市北原町９２４－２,×,○,×,×,2021/4/1,変更,2:外部サービス利用型,7
294,特定非営利活動法人繋,1122500521,1,ケアホーム・グループホームはんど,3590041,埼玉県所沢市中新井二丁目４７９番地の８ディアコート中新井１０２,04-2942-1219,04-2942-1219,グループホームはんどＡ,3590041,埼玉県所沢市中新井２丁目４７９番地の８ディアコート中新井１０１・１０２・１０３,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,6
295,特定非営利活動法人繋,1122500521,2,ケアホーム・グループホームはんど,3590041,埼玉県所沢市中新井二丁目４７９番地の８ディアコート中新井１０２,04-2942-1219,04-2942-1219,グループホームはんどＢ,3590041,埼玉県所沢市中新井２丁目４７９番地の８ディアコート中新井２０２・２０３,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,4
296,社会福祉法人藤の実会,1122500620,1,ケアホームふじのみ,3590027,埼玉県所沢市松郷２６５－１０,04-2946-8512,04-2946-8512,さくら草,3590027,埼玉県所沢市松郷２６５－１０,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,6
297,社会福祉法人藤の実会,1122500620,2,ケアホームふじのみ,3590027,埼玉県所沢市松郷２６５－１０,04-2946-8512,04-2946-8512,かすみ草,3590027,埼玉県所沢市松郷２６５－１０,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,6
298,社会福祉法人藤の実会,1122500620,3,ケアホームふじのみ,3590027,埼玉県所沢市松郷２６５－１０,04-2946-8512,04-2946-8512,れんげ草,3590001,埼玉県所沢市下富霞ヶ台285-2,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
299,社会福祉法人藤の実会,1122500620,4,ケアホームふじのみ,3590027,埼玉県所沢市松郷２６５－１０,04-2946-8512,04-2946-8512,つきみ草,3590001,埼玉県所沢市下富285-5,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
300,社会福祉法人藤の実会,1122500620,5,ケアホームふじのみ,3590027,埼玉県所沢市松郷２６５－１０,04-2946-8512,04-2946-8512,ふくじゅ草,3590001,埼玉県所沢市下富霞ヶ台285-6,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,6
301,社会福祉法人藤の実会,1122500620,6,ケアホームふじのみ,3590027,埼玉県所沢市松郷２６５－１０,04-2946-8512,04-2946-8512,県営けやき１０８,3591111,埼玉県所沢市緑町4-26 県営新所沢けやき通り住宅108号室,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,2
302,社会福祉法人茶の花福祉会,1122500711,1,グループホームしもとみ大樹,3590001,埼玉県所沢市下富１０２８番７,04-2943-0818,04-2943-0818,グループホームしもとみ大樹,3590001,埼玉県所沢市下富１０２８番７,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
303,社会福祉法人茶の花福祉会,1122500711,2,グループホームしもとみ大樹,3590001,埼玉県所沢市下富１０２８番７,04-2943-0818,04-2943-0818,グループホームさやまがおか大樹,3591106,埼玉県所沢市東狭山ケ丘一丁目７５番地８,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,5
304,社会福祉法人皆成会,1122500737,1,三ヶ島ホーム,3591164,埼玉県所沢市三ケ島一丁目７９５番地１,04-2947-3217,04-2947-3217,三ヶ島ホーム,3591164,埼玉県所沢市三ケ島一丁目７９５番地１,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,15
305,社会福祉法人皆成会,1122500737,2,三ヶ島ホーム,3591164,埼玉県所沢市三ケ島一丁目７９５番地１,04-2947-3217,04-2947-3217,小手指ホーム,3591142,埼玉県所沢市上新井３－１５－１５,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
306,社会福祉法人皆成会,1122500737,3,三ヶ島ホーム,3591164,埼玉県所沢市三ケ島一丁目７９５番地１,04-2947-3217,04-2947-3217,北秋津ホーム,3590038,埼玉県所沢市北秋津８１０－９,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,6
307,社会福祉法人皆成会,1122500737,4,三ヶ島ホーム,3591164,埼玉県所沢市三ケ島一丁目７９５番地１,04-2947-3217,04-2947-3217,はなみずき,3591153,埼玉県所沢市上山口９０－１,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,8
308,特定非営利活動法人エヌピーオーいずみ,1122500935,1,グループホームいずみ,3590044,埼玉県所沢市松葉町１４－１１２０１、２０２、２０３、２０５、３０１、３０５号室,04-2935-3304,04-2935-3304,グループホームいずみ,3590044,埼玉県所沢市松葉町１４－１１ハイムグランドール　２０１、２０２、２０３、２０５、３０１、３０５号室,×,○,○,○,2021/4/1,変更,1:介護サービス包括型,8
311,特定非営利活動法人自立支援ホームとことこの家,1122501123,1,グループホーム新町の家,3590006,埼玉県所沢市所沢新町５０４番地１７,04-2943-1035,04-2943-1035,グループホーム新町の家,3590006,埼玉県所沢市所沢新町504-17,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,5
312,コレパク株式会社,1122501321,1,あおぞらホームつじ,3591147,埼玉県所沢市小手指元町二丁目２７番地９,08087799241,0429689034,あおぞらホームつじ,3591147,埼玉県所沢市小手指元町二丁目２７番地９,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
313,コレパク株式会社,1122501321,2,あおぞらホームつじ,3591147,埼玉県所沢市小手指元町二丁目２７番地９,08087799241,0429689034,あおぞらホームあおき,3591133,埼玉県所沢市荒幡８８１番地１７,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
314,コレパク株式会社,1122501321,3,あおぞらホームつじ,3591147,埼玉県所沢市小手指元町二丁目２７番地９,08087799241,0429689034,あおぞらホームはだ,3591131,埼玉県所沢市久米２６７番地１０,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
315,コレパク株式会社,1122501321,4,あおぞらホームつじ,3591147,埼玉県所沢市小手指元町二丁目２７番地９,08087799241,0429689034,あおぞらホームねがみ,3591145,埼玉県所沢市山口２７３７番地８,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
316,コレパク株式会社,1122501321,5,あおぞらホームつじ,3591147,埼玉県所沢市小手指元町二丁目２７番地９,08087799241,0429689034,あおぞらホームはらだ,3590003,埼玉県所沢市中富南三丁目２番地１１,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
317,株式会社あおいの杜,1122501420,1,おからホーム,3591145,埼玉県所沢市山口１０３４番５２号,08021632249,04-2946-9415,おからホーム,3591145,埼玉県所沢市山口１０３４番５２号,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
318,株式会社あおいの杜,1122501420,2,おからホーム,3591145,埼玉県所沢市山口１０３４番５２号,08021632249,04-2946-9415,おからホーム２,3591133,埼玉県所沢市荒幡２５９番７号,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
319,株式会社あおいの杜,1122501420,3,おからホーム,3591145,埼玉県所沢市山口１０３４番５２号,08021632249,04-2946-9415,おからホーム３,3591153,埼玉県所沢市上山口１９３４番１号,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
320,株式会社あおいの杜,1122501420,4,おからホーム,3591145,埼玉県所沢市山口１０３４番５２号,08021632249,04-2946-9415,おからホーム４,3591162,埼玉県所沢市和ケ原一丁目５１番２６号,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
321,株式会社あおいの杜,1122501420,5,おからホーム,3591145,埼玉県所沢市山口１０３４番５２号,08021632249,04-2946-9415,おからホーム５,3591145,埼玉県所沢市山口１９３４番１３号,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,5
323,株式会社ファブ,1122501487,1,アイコン,3590045,埼玉県所沢市美原町１丁目２９１２番地２黒田マンション３０５,04-2968-7984,04-2968-7985,アイコン１,3590045,埼玉県所沢市美原町１丁目２９１２番地２黒田マンション３０５,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,3
324,株式会社ファブ,1122501487,2,アイコン,3590045,埼玉県所沢市美原町１丁目２９１２番地２黒田マンション３０５,04-2968-7984,04-2968-7985,アイコン2,3590045,埼玉県所沢市美原町１丁目２９１２番地２黒田マンション１０６,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,2
325,株式会社ファブ,1122501487,3,アイコン,3590045,埼玉県所沢市美原町１丁目２９１２番地２黒田マンション３０５,04-2968-7984,04-2968-7985,アイコン3,3590045,埼玉県所沢市美原町１丁目２９１２番地２　黒田マンション１０８,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,2
326,株式会社ファブ,1122501487,4,アイコン,3590045,埼玉県所沢市美原町１丁目２９１２番地２黒田マンション３０５,04-2968-7984,04-2968-7985,アイコン4,3590045,埼玉県所沢市美原町１丁目２９１２番地２黒田マンション４０６,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,2
327,株式会社ファブ,1122501487,5,アイコン,3590045,埼玉県所沢市美原町１丁目２９１２番地２黒田マンション３０５,04-2968-7984,04-2968-7985,アイコン5,3590045,埼玉県所沢市美原町１丁目２９１２番地２黒田マンション４０８,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,2
328,株式会社インクルージョン,1122501495,1,P・Aファーム,3591146,埼玉県所沢市小手指南三丁目１番地８,04-2001-1893,04-2001-1893,P・Aファーム,3591146,埼玉県所沢市小手指南三丁目１１番地８,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
329,株式会社インクルージョン,1122501495,2,P・Aファーム,3591146,埼玉県所沢市小手指南三丁目１番地８,04-2001-1893,04-2001-1893,はつ穂,3591151,埼玉県所沢市若狭３丁目２５６２番地１４,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
330,株式会社インクルージョン,1122501495,3,P・Aファーム,3591146,埼玉県所沢市小手指南三丁目１番地８,04-2001-1893,04-2001-1893,うらら,3591106,埼玉県所沢市東狭山ケ丘二丁目２９１４番地１２,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
336,特定非営利活動法人地域自立支援ホーム爽,1122501610,1,グループホーム爽,3590003,埼玉県所沢市中富南１丁目５番地２１,04-2943-2252,04-2943-2252,グループホーム爽,3590003,埼玉県所沢市中富南１丁目５番地２１,○,○,×,×,2021/4/1,変更,1:介護サービス包括型,5
340,ソーシャルインクルー株式会社,1122501636,1,ソーシャルインクルーホーム所沢三ケ島,3591164,埼玉県所沢市三ケ島１丁目７９５－４,04-2946-9572,04-2946-9574,ソーシャルインクルーホーム所沢三ケ島Ⅰ,3591164,埼玉県所沢市三ケ島１丁目７９５－４,○,○,○,×,2021/4/1,変更,3:日中サービス支援型,10
341,ソーシャルインクルー株式会社,1122501636,2,ソーシャルインクルーホーム所沢三ケ島,3591164,埼玉県所沢市三ケ島１丁目７９５－４,04-2946-9572,04-2946-9574,ソーシャルインクルーホーム所沢三ケ島Ⅱ,3591164,埼玉県所沢市三ケ島１丁目７９５－４,○,○,○,×,2021/4/1,変更,3:日中サービス支援型,10
351,社会福祉法人むさしの福祉会,1122600016,1,原市場グループホーム,3570124,埼玉県飯能市原市場９４３－１,0429-77-4188,0429-74-2551,もみじ山荘,3570124,埼玉県飯能市原市場９４３－１,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
352,社会福祉法人むさしの福祉会,1122600016,2,原市場グループホーム,3570124,埼玉県飯能市原市場９４３－１,0429-77-4188,0429-74-2551,陽だまり荘,3570125,埼玉県飯能市大字上赤工字渡場１８８番地１,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,10
354,医療法人財団良心会,1122600032,1,キロロハイツ,3570063,埼玉県飯能市飯能７１７,042-971-5565,0428-74-7131,キロロハイツ　ユニット１,3570063,埼玉県飯能市飯能７１７,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,10
355,医療法人財団良心会,1122600032,4,キロロハイツ,3570063,埼玉県飯能市飯能７１７,042-971-5565,0428-74-7131,キロロハイツ　ユニット２,3570063,埼玉県飯能市飯能７１７,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,8
357,社会福祉法人埼玉現成会,1122600388,1,太陽の家,3570016,埼玉県飯能市下加治天神前11-5,042-972-5505,042-972-5535,太陽の家,3570016,埼玉県飯能市下加治天神前11-5,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,5
358,社会福祉法人新,1122700014,1,桜,3501321,埼玉県狭山市広瀬台１－５－１７,042-952-1021,04-2958-7839,桜,3501321,埼玉県狭山市上広瀬１－５－１７,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,4
359,社会福祉法人新,1122700014,2,桜,3501321,埼玉県狭山市広瀬台１－５－１７,042-952-1021,04-2958-7839,葵,3501306,埼玉県狭山市富士見１－２２－５,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,4
360,社会福祉法人新,1122700014,5,桜,3501321,埼玉県狭山市広瀬台１－５－１７,042-952-1021,04-2958-7839,桜並木まふ,3501335,埼玉県狭山市柏原４２３７,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,13
361,社会福祉法人新,1122700014,6,桜,3501321,埼玉県狭山市広瀬台１－５－１７,042-952-1021,04-2958-7839,蓮,3501335,埼玉県狭山市柏原３４０５－１４４,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,4
362,社会福祉法人新,1122700014,7,桜,3501321,埼玉県狭山市広瀬台１－５－１７,042-952-1021,04-2958-7839,木蓮,3501335,埼玉県狭山市柏原３４０５－２１４,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,5
363,社会福祉法人新,1122700014,8,桜,3501321,埼玉県狭山市広瀬台１－５－１７,042-952-1021,04-2958-7839,結,3501305,埼玉県狭山市入間川１－２２－１２,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,4
364,社会福祉法人新,1122700014,9,桜,3501321,埼玉県狭山市広瀬台１－５－１７,042-952-1021,04-2958-7839,ポプラ,3501312,埼玉県狭山市堀兼２３７６－４,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,5
365,社会福祉法人茶の花福祉会,1122700022,1,グループホーム　さやま大樹,3501334,埼玉県狭山市狭山４７－２９,04-2955-2944,04-2955-2942,グループホーム　さやま大樹,3501334,埼玉県狭山市狭山４７－２９,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
368,社会福祉法人みのり福祉会,1122700287,1,グループホームみどり,3501305,埼玉県狭山市入間川1469番地の57,04-2946-9371,04-2946-9372,グループホームみどり,3501305,埼玉県狭山市入間川1469番地の57,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,4
370,社会福祉法人みのり福祉会,1122700287,4,グループホームみどり,3501305,埼玉県狭山市入間川1469番地の57,04-2946-9371,04-2946-9372,グループホームあかね,3501305,埼玉県狭山市入間川１４４２－４,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,10
372,社会福祉法人茶の花福祉会,1122700386,1,グループホームかざし大樹,3501314,埼玉県狭山市加佐志２４６－１,04-2958-0088,04-2958-0088,グループホームかざし大樹,3501314,埼玉県狭山市加佐志２４６－１,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
373,ソーシャルインクルー株式会社,1122700394,1,ソーシャルインクルーホーム狭山上赤坂,3501313,埼玉県狭山市大字上赤坂４７１－２３,04-2936-6251,04-2936-6352,ソーシャルインクルーホーム狭山上赤坂Ⅰ,3501313,埼玉県狭山市大字上赤坂４７１－２３,○,○,○,×,2021/4/1,変更,3:日中サービス支援型,10
374,ソーシャルインクルー株式会社,1122700394,2,ソーシャルインクルーホーム狭山上赤坂,3501313,埼玉県狭山市大字上赤坂４７１－２３,04-2936-6251,04-2936-6352,ソーシャルインクルーホーム狭山上赤坂Ⅱ,3501313,埼玉県狭山市大字上赤坂４７１－２３,○,○,○,×,2021/4/1,変更,3:日中サービス支援型,10
376,社会福祉法人創和,1122800012,1,東町ホーム,3580002,埼玉県入間市東町1-9-25,04-2965-0370,04-2965-0370,いそのハウス,3580002,埼玉県入間市東町１－９－２５A101～103、A201～203,×,×,○,×,2021/4/1,変更,2:外部サービス利用型,6
377,社会福祉法人茶の花福祉会,1122800244,1,グループホームもりさか大樹,3580052,埼玉県入間市森坂３－５,04-2964-4111,04-2964-4111,グループホームもりさか大樹,3580052,埼玉県入間市森坂３－５,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
378,社会福祉法人茶の花福祉会,1122800244,3,グループホームもりさか大樹,3580052,埼玉県入間市森坂３－５,04-2964-4111,04-2964-4111,グループホームとよおか大樹,3580003,埼玉県入間市豊岡一丁目１２－２５,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
379,社会福祉法人茶の花福祉会,1122800244,6,グループホームもりさか大樹,3580052,埼玉県入間市森坂３－５,04-2964-4111,04-2964-4111,たかくら大樹,3580021,埼玉県入間市高倉5-16-44,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,6
384,社会福祉法人茶の花福祉会,1122800392,1,グループホームこやた大樹,3580027,埼玉県入間市上小谷田三丁目２番２５号,04-2966-7979,04-2966-0003,グループホームこやた大樹,3580027,埼玉県入間市上小谷田三丁目２番２５号,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
385,社会福祉法人茶の花福祉会,1122800392,2,グループホームこやた大樹,3580027,埼玉県入間市上小谷田三丁目２番２５号,04-2966-7979,04-2966-0003,グループホーム下こやた大樹,3580026,埼玉県入間市大字小谷田２７３番地１,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,5
386,社会福祉法人茶の花福祉会,1122800392,3,グループホームこやた大樹,3580027,埼玉県入間市上小谷田三丁目２番２５号,04-2966-7979,04-2966-0003,グループホーム下こやた大樹第二,3580026,埼玉県入間市大字小谷田２７３番地１,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,4
387,社会福祉法人茶の花福祉会,1122800392,4,グループホームこやた大樹,3580027,埼玉県入間市上小谷田三丁目２番２５号,04-2966-7979,04-2966-0003,グループホーム下こやた大樹第三,3580026,埼玉県入間市大字小谷田２７３番地１,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
388,社会福祉法人茶の花福祉会,1122800392,5,グループホームこやた大樹,3580027,埼玉県入間市上小谷田三丁目２番２５号,04-2966-7979,04-2966-0003,グループホームかつら大樹,3580026,埼玉県入間市大字小谷田３８２－１,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
389,特定非営利活動法人てあしの会,1122800400,1,ケアホーム　くろまつ,3580013,埼玉県入間市上藤沢３５１－８,04-2935-3911,04-2935-3911,ケアホーム　くろまつ,3580013,埼玉県入間市上藤沢３５１－８,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,6
391,ヤマショウ・テクノロジー株式会社,1122800558,2,ソフィアホーム野口,3580054,埼玉県入間市野田３００７番地６,07041287804,,ソフィアホーム根岸,3580048,埼玉県入間市金子中央１７番地１５,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
393,ヤマショウ・テクノロジー株式会社,1122800558,4,ソフィアホーム野口,3580054,埼玉県入間市野田３００７番地６,07041287804,,ソフィアホーム高木,3580026,埼玉県入間市小谷田１５３６番地５,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
404,社会福祉法人ゆいの里福祉会,1122900242,1,ケアハウスすまいる,3540001,埼玉県富士見市大字東大久保字金子街道１４３０－１３,049-268-6680,049-268-6681,ケアハウスすまいる,3540001,埼玉県富士見市大字東大久保字金子街道１４３０－１３,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,6
405,社会福祉法人入間東部福祉会,1122900325,1,グループホームふじみ野かがやき,3560022,埼玉県ふじみ野市長宮１－１－７,049-257-6401,049-2576402,グループホームふじみ野かがやき,3560022,埼玉県ふじみ野市長宮１－１－７,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,9
406,社会福祉法人入間東部福祉会,1122900325,2,グループホームふじみ野かがやき,3560022,埼玉県ふじみ野市長宮１－１－７,049-257-6401,049-2576402,グループホームはばたき,3540033,埼玉県富士見市羽沢１－２６－１０,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,8
407,特定非営利活動法人あおい糸,1122900366,1,グループホーム　つむぎの家,3540033,埼玉県富士見市羽沢二丁目５番４５号,049-293-1910,049-293-1911,グループホーム　つむぎの家,3540033,埼玉県富士見市羽沢二丁目５番４５号,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,12
408,特定非営利活動法人あおい糸,1122900366,2,グループホーム　つむぎの家,3540033,埼玉県富士見市羽沢二丁目５番４５号,049-293-1910,049-293-1911,グループホーム　つむぎの家みずほ台,3540018,埼玉県富士見市西みずほ台一丁目４番８号,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,11
409,特定非営利活動法人あおい糸,1122900366,3,グループホーム　つむぎの家,3540033,埼玉県富士見市羽沢二丁目５番４５号,049-293-1910,049-293-1911,グループホーム　つむぎの家ＵＤ,3540033,埼玉県富士見市羽沢二丁目５番４８号　ケアメゾンＵＤ２００号室,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,3
416,特定非営利活動法人上福岡障害者支援センター２１,1123000133,1,グループホーム　ひまわり,3560045,埼玉県ふじみ野市鶴ケ岡１－１２－１７,049-256-7995,049-256-7995,第１ひまわり,3501142,埼玉県川越市藤間１０６６番地１号,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,6
417,特定非営利活動法人上福岡障害者支援センター２１,1123000133,2,グループホーム　ひまわり,3560045,埼玉県ふじみ野市鶴ケ岡１－１２－１７,049-256-7995,049-256-7995,第２ひまわり,3560045,埼玉県ふじみ野市鶴ケ岡１－１２－１７,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,5
421,社会福祉法人むさしの郷,1123100016,1,未来ホーム,3600203,埼玉県熊谷市弥藤吾５７８－１８,048-589-3353,048-588-8830,未来ホーム,3600203,埼玉県熊谷市弥藤吾５７８－１８,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,10
422,社会福祉法人むさしの郷,1123100016,2,未来ホーム,3600203,埼玉県熊谷市弥藤吾５７８－１８,048-589-3353,048-588-8830,一路ホーム,3600203,埼玉県熊谷市弥藤吾578-15,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,10
423,社会福祉法人むさしの郷,1123100016,4,未来ホーム,3600203,埼玉県熊谷市弥藤吾５７８－１８,048-589-3353,048-588-8830,東方ホーム,3660041,埼玉県深谷市東方３２５３－７,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,3
424,社会福祉法人むさしの郷,1123100016,5,未来ホーム,3600203,埼玉県熊谷市弥藤吾５７８－１８,048-589-3353,048-588-8830,コスモスホーム,3600201,埼玉県熊谷市妻沼４８５０－６,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
425,社会福祉法人むさしの郷,1123100016,7,未来ホーム,3600203,埼玉県熊谷市弥藤吾５７８－１８,048-589-3353,048-588-8830,福嶋ホーム,3600214,埼玉県熊谷市妻沼１１３５－６,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,6
428,社会福祉法人黎明会,1123100404,1,ケアホーム上川上,3600004,埼玉県熊谷市上川上５６０－４,048-525-0115,048-527-3020,ケアホーム上川上,3600004,埼玉県熊谷市上川上５６０－４,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,5
429,社会福祉法人雀幸園,1123100453,1,グループホーム木葉,3600005,埼玉県熊谷市今井字沼田１２６５－２,048-501-2122,048-501-2248,グループホーム木葉,3600005,埼玉県熊谷市今井字沼田１２６５－２,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
430,社会福祉法人雀幸園,1123100453,2,グループホーム木葉,3600005,埼玉県熊谷市今井字沼田１２６５－２,048-501-2122,048-501-2248,グループホーム第二木葉,3600005,埼玉県熊谷市今井字沼田１２６５－２,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
431,社会福祉法人雀幸園,1123100453,3,グループホーム木葉,3600005,埼玉県熊谷市今井字沼田１２６５－２,048-501-2122,048-501-2248,グループホーム春風,3600005,埼玉県熊谷市今井1265-2,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
432,特定非営利活動法人おにの家,1123100529,1,ケアホームハイツ桜ヶ丘,3600105,埼玉県熊谷市板井１６１８番地４,048-536-8003,048-536-8003,ケアホームハイツ桜ヶ丘,3600105,埼玉県熊谷市板井１６１８－４,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,7
433,特定非営利活動法人おにの家,1123100529,3,ケアホームハイツ桜ヶ丘,3600105,埼玉県熊谷市板井１６１８番地４,048-536-8003,048-536-8003,ハイツ桜ヶ丘・第２,3600105,埼玉県熊谷市板井１６１８番地５,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,7
434,特定非営利活動法人自立生活をささえる会いなほ,1123100560,1,ケアホームほのか,3600847,埼玉県熊谷市籠原南３－１８４,048-533-8812,048-533-8812,ケアホームほのか,3600847,埼玉県熊谷市籠原南３－１８４,○,○,○,×,2021/4/1,変更,1:介護サービス包括型,8
